# r, xip, err_xip, xim, err_xim 
1.163523978278710791e+00 3.486854617534114874e-06 7.289469396750623225e-07 1.482413375487802474e-07 7.289469396750623225e-07
1.526112275646040128e+00 2.675735171409256101e-06 5.003015381144525415e-07 -3.425181962523886536e-07 5.003015381144525415e-07
2.030572221246083497e+00 2.166312931701302959e-06 4.112931368219260629e-07 -2.788305162766606889e-07 4.112931368219260629e-07
2.704068740742962884e+00 2.250207529607961882e-06 3.210723314797182091e-07 -4.988426543795234131e-07 3.210723314797182091e-07
3.592965381091430821e+00 1.485789417446017766e-06 2.782084490813295489e-07 8.272605457917317038e-08 2.782084490813295489e-07
4.733830093324959520e+00 1.042573262133627255e-06 2.546116505178398174e-07 -3.204895889341162532e-08 2.546116505178398174e-07
6.186078693106948023e+00 -1.356442594314027011e-07 2.743515325053036625e-07 8.653451204932345545e-10 2.743515325053036625e-07
7.787743843757003681e+00 -3.608985278090105508e-07 6.319970762305003518e-07 -8.179842867610816615e-07 6.319970762305003518e-07
