#     gamma 1             gamma 2            pos
-0.0011963158377092528 0.0010823844088439535 [22, 2]
-0.001464754694777576 -0.003709733828260953 [23, 2]
0.0010107686039885822 0.004016195390187467 [24, 2]
-0.003198447358484684 0.00035338463617750536 [25, 2]
-0.0005774002058277171 0.007969898499342556 [26, 2]
0.0019223209026761946 0.002764497986692967 [27, 2]
-0.006750525073027724 0.002809305311879597 [28, 2]
0.0036972614532434075 -0.0025067461083917056 [29, 2]
-0.004552520999477222 -0.008046948236106943 [30, 2]
-0.001341230449539612 -0.0020229594279606907 [31, 2]
-0.007170811282315548 -0.006381810899315749 [0, 3]
-0.014674164335721466 0.013126053913526671 [1, 3]
0.00410090277493541 -0.0028885168875847 [2, 3]
-0.0029233539514963804 -0.011318806411398426 [3, 3]
0.0034386265012223255 -0.0007315916809607281 [4, 3]
-0.0008413106090026784 0.007021137776040441 [5, 3]
0.009352941987417483 -0.0016859103923358575 [6, 3]
-0.01020870336191382 0.003880089539660141 [7, 3]
0.005135744488510708 -0.012642587734051842 [8, 3]
0.0067353426271234374 -0.0031896055759170656 [9, 3]
0.007046963830077002 0.005208092579159599 [10, 3]
0.005085731875592449 -0.002425060696518706 [11, 3]
0.0032831162211388724 0.01400635347373898 [12, 3]
0.005367647514708249 -0.0157504768469287 [13, 3]
-9.66461306791329e-05 -0.005251188306982665 [14, 3]
0.006411527163200716 0.023760015695295 [15, 3]
-0.002184296282901927 -0.00386729176043441 [16, 3]
0.0008776825868709018 0.005968586640269988 [17, 3]
0.008561713742463463 0.001206650875463246 [18, 3]
0.003188537072039612 0.016146202094766842 [19, 3]
-0.0036472539358517585 -0.004369173245371029 [20, 3]
0.003913818733278173 -0.012425887305465273 [21, 3]
-0.010416537156351205 -0.01399291729145263 [22, 3]
0.007543679553682819 0.00030071654695486847 [23, 3]
-0.0032196245570362833 0.0128232721618174 [24, 3]
0.0020433160593795524 -0.0010228186021697346 [25, 3]
0.0068835143613929515 -0.011106704133124305 [26, 3]
-0.003216455283684359 -0.00340475943743892 [27, 3]
-0.004867944695046084 -0.004106640568619596 [28, 3]
0.0013717900318937976 -0.009038108684921813 [29, 3]
-0.0028158365225668678 0.01512037957068029 [30, 3]
0.005118741483588456 -0.002456089606578929 [31, 3]
-0.0002859334028356947 0.0045314192339178435 [0, 4]
-0.004465068355827465 0.01537368827880155 [1, 4]
0.010104682323387223 -0.006562085357930087 [2, 4]
0.003569453196675999 0.004903943518134954 [3, 4]
0.004758839303753889 0.018331664784307526 [4, 4]
-0.005723412404600191 -0.007355521962682276 [5, 4]
-0.0015952175650589728 -0.02095849585349994 [6, 4]
-0.0012928696184389844 0.03228114660689461 [7, 4]
-0.010078548180918311 -6.509881578566826e-05 [8, 4]
-0.0008154378526863294 0.016703248555386234 [9, 4]
0.00423895989953043 0.012990144197734428 [10, 4]
0.0012148249906707809 0.00887808550534273 [11, 4]
-0.003912851802149707 -0.01883510763397222 [12, 4]
0.0003182277581851769 0.01905531194549572 [13, 4]
0.005459147040380592 -0.004515410671626791 [14, 4]
0.007455045433837043 0.013361339813964042 [15, 4]
0.00831933979462387 -0.010235943635156616 [16, 4]
-0.001710484022832758 0.008776633062646696 [17, 4]
0.0028986476170646787 4.584937680242336e-05 [18, 4]
0.008579652668081077 0.01134541051390034 [19, 4]
-0.0030670623709472596 -0.009880322189337773 [20, 4]
0.003015410791287702 -0.01300093853910001 [21, 4]
-0.016254775472287004 -0.01808816116550099 [22, 4]
-0.008773346524190451 -0.003795704219537537 [23, 4]
0.0034958287254043168 -0.00927284025880586 [24, 4]
0.008234462975662195 0.013693778073814769 [25, 4]
0.0004364358358890241 -0.002387492316140664 [26, 4]
-0.00675126279456249 -0.012329653229794582 [27, 4]
-0.002140354276860492 0.005258207172326955 [28, 4]
0.006969086264051609 0.00743148426089735 [29, 4]
0.000429541667381405 0.004626365676657167 [30, 4]
0.0017366689355443232 0.006367229937688598 [31, 4]
0.008347364597628672 0.028452956441297483 [0, 5]
-0.0019127402954333187 -0.010832557040837876 [1, 5]
-0.0017623026909887212 -0.01279819906840394 [2, 5]
-0.0011640895409475757 -0.015951970844716817 [3, 5]
-0.0017730548229346712 -0.000484264945215842 [4, 5]
0.00041084894196342475 -0.007128171505873619 [5, 5]
0.004874412421776878 0.0022796950241028664 [6, 5]
0.0035728587613758373 -0.007944815621649087 [7, 5]
-0.005975204649339434 0.01016334605931656 [8, 5]
0.0005877447320782494 -0.006407080010166394 [9, 5]
0.002218083198390139 0.012084821309324891 [10, 5]
-0.004892638752913244 -0.0007256357283635437 [11, 5]
-0.002409879253831389 -0.0008620531613253672 [12, 5]
-0.0012818502582831683 -0.005129953587529753 [13, 5]
-0.008351052265644842 -0.010297923916034759 [14, 5]
0.0013440644511809672 -0.001166406872413689 [15, 5]
-0.007539995295881206 0.00394160595288766 [16, 5]
-0.003981061631600766 0.0065847160234143165 [17, 5]
-0.008115995150651418 0.0005490918322678206 [18, 5]
0.002771791309391328 0.005210264253709686 [19, 5]
-0.0011343595031760116 0.01380432195488775 [20, 5]
-0.00032202940532697786 -0.013842032944635683 [21, 5]
-0.0022878322390925895 0.0015489976531746726 [22, 5]
0.0014485710215979461 -0.008225706625371218 [23, 5]
0.0028082353242882747 0.011608978466661849 [24, 5]
-0.00944165607946225 0.0006254945071987127 [25, 5]
-7.537025723789261e-05 0.0004424157795614991 [26, 5]
-0.007171124775270988 -0.008822129500957978 [27, 5]
-0.0010157603528674264 0.0021765820837241798 [28, 5]
-0.0018595969365698829 -0.008885157633780503 [29, 5]
-0.0035200015273065717 0.0015996789065325576 [30, 5]
0.002376300893033299 -0.005176818390462689 [31, 5]
0.003076480891168384 -0.011040396631576962 [0, 6]
-0.005493870644650553 0.012292981622669848 [1, 6]
0.002685547262069551 0.003215562240534262 [2, 6]
0.004543329239504401 0.010776649187568713 [3, 6]
0.0008504908539003153 0.002485244837638391 [4, 6]
0.001554683102203725 -0.002181119035362673 [5, 6]
-0.0045970887116781765 0.0026372639544352478 [6, 6]
0.006331968747641425 0.014775602900407263 [7, 6]
-0.0034672480495358017 -0.011612809118309636 [8, 6]
-0.015342415112447305 -0.003974774007754269 [9, 6]
0.0033206310406256358 -0.006884431758177858 [10, 6]
0.017052177459099187 -0.006357896413491705 [11, 6]
-0.0010457313183133525 0.002886339867396292 [12, 6]
-0.005229287312715786 -0.006046075156295291 [13, 6]
0.00601601642989823 0.017084654665720445 [14, 6]
-0.0016551191334343322 -0.0009667156303558624 [15, 6]
-0.002583625371695451 0.01190309757857715 [16, 6]
0.0017570355225302323 0.0011387523096641598 [17, 6]
-0.0008361138515432694 0.005970954823541395 [18, 6]
-0.010966064826194357 0.004915624080074942 [19, 6]
0.006436205156720777 -0.006529294080058442 [20, 6]
-0.0015403912742752526 0.0061870073205303544 [21, 6]
-0.0018804627484585801 0.009285543989941488 [22, 6]
-0.0015388844265162456 -0.0039622942192141354 [23, 6]
0.0040833674209683896 -0.013629082973447035 [24, 6]
-0.0033140584568506245 0.0013367942813898314 [25, 6]
0.00025277975876818697 -0.0024358437981215854 [26, 6]
-0.0023130921294101576 -0.006969033571601735 [27, 6]
0.0008803120747587867 -0.009898006134012918 [28, 6]
0.0076687373915317065 0.0011284143204759185 [29, 6]
