#    gamma 1               gamma 2           pos
-0.007119260375158277 -0.00563956014859807 [0, 8]
-0.009920043743059376 -0.0008953968503585528 [1, 8]
-0.01853617963337068 -0.006772445262074483 [2, 8]
-0.010588985999786603 0.006901723438305019 [3, 8]
0.007513502508996227 -0.00930557799372655 [4, 8]
-0.0042824394992530095 -0.0006861695259488567 [5, 8]
0.017463751803481652 0.0075972756674751885 [6, 8]
0.005284195603580484 -0.006143091974888285 [7, 8]
0.009309967154734897 -0.002816977518174532 [8, 8]
-0.009335349286631569 0.00736193317069489 [9, 8]
0.0011455185391061873 -0.006686671877435944 [10, 8]
-0.008098475209519977 -0.005743907390685069 [11, 8]
0.012338811246964053 -0.00852099061171566 [12, 8]
-0.00010690580644446587 -0.007669707232164911 [13, 8]
-0.010580728435391921 -0.01873112321641831 [14, 8]
0.004124184722205586 -0.005908929062760128 [15, 8]
0.007193839645220286 -0.005106003538530788 [16, 8]
0.012399974293708342 0.005271484678569914 [17, 8]
-0.00802280878237823 -0.022714498500165704 [18, 8]
0.005785111281795035 0.006866559812053627 [19, 8]
0.00320853974048768 -0.008021967899429466 [20, 8]
0.003654679817242497 0.007612768551155937 [21, 8]
0.00102644597500799 -0.0009154823621513557 [22, 8]
0.003546033608109873 -0.002913666684400529 [23, 8]
0.005614200253997101 0.008243231371848713 [24, 8]
-0.00510956097374986 9.123396998035916e-05 [25, 8]
0.010232592328039953 -0.008931757707956744 [26, 8]
0.0013740052208167965 0.0012213674574631129 [27, 8]
-4.0272891192987066e-05 -0.0005044758085969006 [28, 8]
0.0017420174315984133 0.003436769177310189 [29, 8]
-0.003101509159651921 -0.004640030821849791 [30, 8]
0.001746418880015354 0.0029297550253445295 [31, 8]
-0.007406975330044275 -0.013568358160270763 [0, 9]
-0.0029492812374883417 -0.005593695808015426 [1, 9]
-0.003494631983469013 -0.013093772226080866 [2, 9]
-0.021312678941011885 -0.014564974039300804 [3, 9]
1.6380424088233696e-05 -0.014405621720584082 [4, 9]
-0.011731247686810487 -0.005511326816497191 [5, 9]
