#     gamma 1            gamma 2              pos
0.0012062743467924776 0.005054286475824374 [20, 1]
-0.008727764117739427 -0.0031163704636809945 [21, 1]
-0.008503983772646346 0.002915389807043344 [22, 1]
0.0033635628825536682 0.006680451293896809 [23, 1]
-0.0029438740762464427 -0.009348609548667248 [24, 1]
0.0053172083136359865 0.0014865248705430536 [25, 1]
0.004175152793290694 0.00030315719839505746 [26, 1]
0.0037406117626961146 0.0036543402125332244 [27, 1]
-0.0013200615110395368 0.001095713469201458 [28, 1]
-0.008064958819816264 -0.0021445302921025205 [29, 1]
-0.005853564726407433 -0.002107331895750876 [30, 1]
-0.005893004820593322 -0.0005685712040401299 [31, 1]
0.0011776953719483635 -0.0035114410537492283 [0, 2]
-0.006296750611538707 -0.014390812216650449 [1, 2]
0.001997564887270716 8.508047146518671e-05 [2, 2]
0.0106434188369989 -0.003023900932292038 [3, 2]
0.0009673213881735422 0.004003446467349181 [4, 2]
0.0008108106444277728 -0.002504212554228199 [5, 2]
0.0008629042290427084 0.011165563238092044 [6, 2]
0.004782314869632615 -0.003500993965592186 [7, 2]
0.003873988808310565 0.006423826130012268 [8, 2]
-0.005558083023174491 0.004318831496176779 [9, 2]
0.0021513139785687366 -0.008699113269878994 [10, 2]
0.003084380570046943 -0.0018245019416810479 [11, 2]
0.002378745860428336 -0.012676527773495613 [12, 2]
0.004765585306255959 -0.005394007391179517 [13, 2]
-0.0011690498912211523 0.0026467215120509614 [14, 2]
-0.009696978197463022 -0.004797666171577424 [15, 2]
-0.0047114186046919694 0.006027213286571468 [16, 2]
-0.0035168366986759437 0.012035376228381205 [17, 2]
0.00050836889827873 0.008319330079115797 [18, 2]
-0.004400853384539393 0.008576179677876132 [19, 2]
0.00520593706281937 0.006605688013772942 [20, 2]
0.0018724027682299577 0.008793332623677277 [21, 2]
-0.000841245890276524 -0.00339908399533484 [22, 2]
-0.007825464328306563 0.003783701300941118 [23, 2]
0.00127016879060425 -0.007047009326045543 [24, 2]
-0.00658598922080558 0.005694742176681287 [25, 2]
-0.0003220331131644914 -0.0035316776144610077 [26, 2]
0.0017092434966399126 0.004855951329986442 [27, 2]
-0.00642381188290443 0.002997366921973547 [28, 2]
-0.0003039322552261411 -0.0021216783791161635 [29, 2]
0.00032198814282550153 0.0024309806917283167 [30, 2]
-0.00040887031865466644 0.005742571039647309 [31, 2]
-0.0014815746440049722 0.002337281859302697 [0, 3]
0.0033797376564475424 0.005734348404774536 [1, 3]
0.0016866138550779446 -0.002966900430801047 [2, 3]
-0.01663707734942969 0.0013617249342267068 [3, 3]
0.0007356853512383543 0.001156287902223392 [4, 3]
-0.0101772286721411 -0.005676801698914691 [5, 3]
-0.007871548900611921 0.0005535324437387266 [6, 3]
0.004642355695960846 0.007881388187628947 [7, 3]
-0.0034675404763725498 -0.016993987146793295 [8, 3]
0.003187314534503463 0.0052822650978036996 [9, 3]
-0.0022372435075941493 0.005763880663929668 [10, 3]
0.015707782271485726 -0.0115274396934678 [11, 3]
0.00757359662280213 -0.004699963671245255 [12, 3]
-0.0021660901292610032 -0.0033932043218004287 [13, 3]
-0.006477104204438427 0.007355635423918828 [14, 3]
-0.0035575225215426025 0.0035891405045758488 [15, 3]
-0.007971907453160077 0.027252238198291742 [16, 3]
0.002173012856031998 0.003339804896081034 [17, 3]
0.0002187142391030444 -0.0011727598881065236 [18, 3]
0.0014322860710226394 -0.013219593749581732 [19, 3]
-0.0057553163438522235 0.0076646061923929185 [20, 3]
0.0013594575364861063 0.005938920364662671 [21, 3]
-0.009308152720473462 -0.0033049969823610186 [22, 3]
0.002482364956508904 -0.0022344501800917738 [23, 3]
0.008767301532095583 -0.004797373613282973 [24, 3]
-0.009218734676790475 -0.0010406444353228115 [25, 3]
0.0020089409424859754 0.00774504186406132 [26, 3]
0.0013053558604070958 0.0008807475537814751 [27, 3]
-0.0014149666836570447 -0.004392891970764627 [28, 3]
0.00047906782471454987 0.0036766517075179595 [29, 3]
0.004305550460027887 0.007020373275215995 [30, 3]
-0.002624052483192327 0.00608072550605276 [31, 3]
-0.002339839425975658 -0.0025782470990734834 [0, 4]
-0.009821822550678578 -0.0002263484157176809 [1, 4]
-7.994916088794712e-05 0.004818332001288271 [2, 4]
-0.0017695226128478798 0.0066803063120914954 [3, 4]
-0.007104045159934791 0.002004938647885719 [4, 4]
-0.002034124479357286 -0.013131121491164108 [5, 4]
0.004047838681423884 0.0015300685444132418 [6, 4]
-0.0036051275974529453 0.0015421034418096583 [7, 4]
0.009031949200646686 0.025338772856220597 [8, 4]
0.0012897950921500288 0.0018594471175615984 [9, 4]
0.002352513964638526 -0.0054515972514275046 [10, 4]
-0.005816329243344066 -0.0013073873677770665 [11, 4]
-0.0072854240860806595 -0.010324559878135586 [12, 4]
-0.00626915450908464 -0.002353881279643462 [13, 4]
-0.004619095473127222 0.0047088915996339395 [14, 4]
-0.001248962262929217 0.0029517346285416355 [15, 4]
-0.013279236578817522 -0.010770339508979961 [16, 4]
0.006584046864439562 -0.0053240497238451505 [17, 4]
0.004828307112305233 -0.011127074383176262 [18, 4]
0.0050367903274496 0.004464954618412894 [19, 4]
0.003290226367070402 0.006155344093466668 [20, 4]
-0.002782775216414662 0.005261172792386502 [21, 4]
-0.0014335680995580943 -0.012135694644028772 [22, 4]
0.001479062150970594 0.014100667011724575 [23, 4]
0.0018501994244621964 0.004772702532736185 [24, 4]
-0.0048703296529024765 0.0068770846832850955 [25, 4]
-8.352433075723712e-05 -0.006787587016279982 [26, 4]
0.005984944693425256 -0.00018514886909216404 [27, 4]
-0.0063575843900848875 -0.003600014496175795 [28, 4]
-0.001273519273557112 -2.200880947625203e-05 [29, 4]
0.0015146398783445595 -0.0016423969404359068 [30, 4]
0.00023011172905915915 0.0010702709458555244 [31, 4]
0.0034175827412179518 -0.00013508097706698357 [0, 5]
-0.003977951613710429 -0.00023896549052096206 [1, 5]
-0.0037808982442018332 0.0024972154246334496 [2, 5]
-0.015375327567898209 -0.0042623101044885 [3, 5]
0.0003555594701320554 -0.0030671293244848943 [4, 5]
-0.00311735715890147 -0.005848763435435498 [5, 5]
-0.005751496647507753 -0.0023643904051532574 [6, 5]
-0.014834690494307665 0.007637563386362338 [7, 5]
0.0009417662713307774 -0.007469773641581201 [8, 5]
-0.012117205835691262 0.0043189232701291306 [9, 5]
0.0017179635619444427 -0.0039067271902137966 [10, 5]
-0.007481138024073591 -0.00253918495333444 [11, 5]
0.0007136211060430155 -0.005428386089471247 [12, 5]
-0.01088916399795596 0.00625634386156943 [13, 5]
0.001203296403466489 0.01017979054788936 [14, 5]
-0.010902918905384891 -0.0009127744430414434 [15, 5]
0.0011775142828136908 -0.0028183877109963576 [16, 5]
-0.00022543244601179113 -0.0021835335454223888 [17, 5]
-0.004545153334623768 0.006458650054065256 [18, 5]
0.00018762627469386733 -0.005214428777863392 [19, 5]
-0.011110882506608475 0.0012941353830429726 [20, 5]
0.0033913567281794615 0.01999163150322725 [21, 5]
0.004895412442421783 -0.004488221133196643 [22, 5]
-0.002890052354241823 -0.0006813492859920671 [23, 5]
-0.004377258826307438 -0.004475468591811491 [24, 5]
0.0020935678456607035 8.517941702656646e-05 [25, 5]
-0.0026549933200883595 0.0023568792495447504 [26, 5]
0.00036907292803666457 0.002263773325143094 [27, 5]
-0.0004924204538078748 0.0009545311166110773 [28, 5]
-0.006185428370854921 0.001126187016774491 [29, 5]
0.006384936663290293 0.006838216138184799 [30, 5]
0.0022044902631548793 -0.0025049002999198043 [31, 5]
-0.002736702769466922 -0.003878700692919348 [0, 6]
-0.0025801154123715384 -0.003149043663797562 [1, 6]
0.011245577790186792 0.001426076154841059 [2, 6]
0.0033534170115815582 0.004573874125540118 [3, 6]
-0.007701001842069789 0.003532933491023571 [4, 6]
0.005501124552002121 0.002288261648202052 [5, 6]
0.002411614202856909 -0.0058115858367611545 [6, 6]
-0.0002685006548714317 0.008058311618533112 [7, 6]
0.006966774086573804 0.005942545679523468 [8, 6]
-0.006575702418190394 0.00262297658051252 [9, 6]
